category;domain;description;provider;product
analytics;big data;big data platform;aws;Amazon EMR
analytics;big data;big data platform;apache;Apache Adoop
analytics;big data;big data platform;apache;Apache Spark
analytics;big data;Provision cloud Hadoop, Spark, R Server, HBase, and Storm clusters;azure;HDInsight
analytics;big data;Predictive analytics, machine learning, and statistical modeling for big data;azure;R Server for HDInsight
analytics;business intelligence (BI) platform;data analytics report;aws;Amazon Quicksight
analytics;business intelligence (BI) platform;White label Power BI to quickly and easily provide exceptional customer facing dashboards and analytics in your own applications;azure;Power BI Embedded
analytics;data analysis;data matching;aws;AWS Entity Resolution
analytics;data analysis;data preparation for analytics and machine learning;aws;AWS Glue DataBrew
analytics;data analytics platform;data analytics;aws;Amazon Kinesis Data Analytics
analytics;data analytics platform;Enterprise grade analytics engine as a service;azure;Azure Analysis Services
analytics;data analytics platform;Design AI with Apache Spark based analytics;azure;Azure Databricks
analytics;data analytics platform;Unified analytics platform;azure;Microsoft Fabric
analytics;data analytics platform;Limitless analytics with unmatched time to insight;azure;Azure Synapse Analytics
analytics;data analytics platform;Distributed analytics service that makes big data easy;azure;Data Lake Analytics
analytics;data analytics platform;financial analytics;aws;Amazon FinSpace
analytics;data analytics repository;data lake;aws;AWS lake Formation
analytics;data analytics repository;online analytical processing;aws;Amazon Redshift
analytics;data analytics repository;Scalable, secure data lake for high performance analytics;azure;Azure Data Lake Storage
analytics;data analytics repository;Hyperscale repository for big data analytics workloads;azure;Azure Data Lake Storage Gen1
analytics;data governance;A unified data governance solution that maximizes the business value of your data;azure;Azure Purview
analytics;data governance;data management;aws;Amazon DataZone
analytics;data integration;A secure, high throughput connector designed to copy select Microsoft 365 productivity datasets into your Azure tenant;azure;Microsoft Graph Data Connect
analytics;data integration;Receive telemetry from millions of devices;azure;Event Hubs
analytics;data integration;data transform and analysis;aws;Amazon Data Firehose
analytics;data integration;data transform and analysis;aws;AWS Glue
analytics;data integration;Hybrid data integration at enterprise scale, made easy;azure;Azure Data Factory
analytics;data sharing;A simple and safe service for sharing big data with external organizations;azure;Azure Data Share
analytics;data sharing;data sharing;aws;AWS Clean Rooms
analytics;enterprise search;search document;aws;Amazon CloudSearch
analytics;enterprise search;Fast and highly scalable data exploration service;azure;Azure Data Explorer
analytics;log analytics platform;log analytics;aws;Amazon OpenSearch Service
analytics;metadata;Get more value from your enterprise data assets;azure;Data Catalog
analytics;sql database;database query;aws;Amazon Athena
analytics;stream analysis;data stream;aws;Amazon Kinesis Data Stream
analytics;stream analysis;video streams;aws;Amazon Kinesis Video Stream
analytics;stream analysis;Real time analytics on fast moving streaming data;azure;Azure Stream Analytics
analytics;testing;Improve application resilience by introducing faults and simulating outages;azure;Azure Chaos Studio
application integration;data governance;data flow management;aws;Amazon AppFlow
application integration;data synchro;data synchronization;aws;AWS AppSync
application integration;data transfer;B2B data interchange;aws;AWS B2B data interchange (B2Bi
application integration;events management;events bus;aws;AWS EventBridge
application integration;message queue;message queue;aws;Amazon Simple Queue Service
application integration;message queue;message queue;aws;Amazon MQ
application integration;notification service;notification service;aws;Amazon Simple Notification Service (SNS)
application integration;orchestration;workflows orchestration;aws;AWS Step Functions
application integration;orchestration;workflows orchestration;aws;AWS Express Workflows
artificial intelligence;content generation;code generator;aws;Amazon CodeWhisperer
