category;domain;description;provider;product
migration-and-modernization;discovery;collects usage, behavior, and configuration data;aws;AWS Application Discovery Service
migration-and-modernization;data transfer;secure file transfer;aws;AWS Transfer Family
migration-and-modernization;data synchro;data synchronization;aws;AWS DataSync
migration-and-modernization;migration service;migration hub;aws;AWS Migration Hub
migration-and-modernization;migration service;application migration service;aws;AWS Application Migration Service
migration-and-modernization;migration service;migration tool;aws;AWS Migration Evaluator
migration-and-modernization;mainframe;migration of on premises mainframe;aws;AWS Mainframe Modernization
migration-and-modernization;database;Simplify on-premises database migration to the cloud;azure;Azure Database Migration Service
migration-and-modernization;migration service;Discover, assess, right-size, and migrate your on-premises virtual machines (VMs) to Azure;azure;Azure Migrate
migration-and-modernization;disaster recovery;Keep your business running with built-in disaster recovery service;azure;Azure Site Recovery
migration-and-modernization;cost management;Manage your cloud spending with confidence;azure;Azure Cost Management and Billing
migration-and-modernization;data transfer;Appliances and solutions for data transfer to Azure and edge compute;azure;Data Box
media-services;media processing;video transcoder;aws;Amazon Elastic Transcoder
media-services;media processing;video transcoder;aws;AWS Elemental Video Convert
media-services;media processing;video transcoder;aws;AWS Elemental MediaConvert
media-services;media processing;video transport;aws;AWS Elemental MediaConnect
media-services;live streaming;broadcast live video processing;aws;AWS Elemental MediaLive
media-services;live streaming;broadcast live video processing;aws;AWS Elemental Conductor
media-services;live streaming;broadcast live video processing;aws;AWS Elemental Delta
media-services;live streaming;broadcast live video processing;aws;AWS Elemental Live
media-services;live streaming;broadcast live video processing;aws;AWS Elemental Server
media-services;packaging;package, distribute video;aws;AWS Elemental MediaPackage
media-services;storage;video storage;aws;AWS Elemental MediaStore
media-services;advertising;video ad insertion;aws;AWS Elemental MediaTailor
media-services;media processing;video processing and delivery;aws;AWS Elemental Appliances & Software
media-services;live streaming;video live streaming low latency;aws;AWS Interactive Video service
media-services;media processing;video source connection;aws;AWS Elemental Link
media-services;particle rendering;process and render particles;aws;AWS Thinkbox Krakatoa
media-services;particle rendering;process and render particles;aws;AWS Thinkbox Frost
media-services;management software;compute management software for render farms;aws;AWS Thinkbox Deadline
media-services;management software;compute management software for render farms;aws;AWS Deadline Cloud
media-services;caching system;compressed animated geometry files;aws;AWS Thinkbox XMesh
media-services;Autodesk 3ds;particle simulator;aws;AWS Thinkbox Stoke
media-services;media player;A single player for all your playback needs;azure;Azure Media Player
media-services;content delivery ;Fast, reliable content delivery network with global reach;azure;Content Delivery Network
media-services;security;Securely deliver content using AES, PlayReady, Widevine, and Fairplay;azure;Content Protection
media-services;encoding;Studio grade encoding at cloud scale;azure;Encoding
media-services;live streaming;Deliver content to virtually all devices with ability to scale;azure;Live and On-Demand Streaming
media-services;media processing;Encode, store, and stream video and audio at scale;azure;Media Services
robotics;simulation;simulation workload;aws;AWS RoboMaker
internet-of-things;operating system;real time operating system for microcontrollers;opensource;Free RTOS
internet-of-things;data analysis;iot data analysis;aws;AWS IoT analytics
internet-of-things;wifi;wifi button device;aws;AWS IoT Button
internet-of-things;device communication;iot device connect and message transfer ;aws;AWS IoT Core
internet-of-things;device security;iot device fleet security;aws;AWS IoT Device Defender
internet-of-things;device management;iot device management;aws;AWS IoT Device Management
internet-of-things;device management;iot device fleet monitoring and actions;aws;AWS IoT Events
internet-of-things;device management;device software build and management;aws;AWS IoT GreenGrass
internet-of-things;monitoring;collect store monitor data from industrial equipment;aws;AWS IoT SiteWise
internet-of-things;device communication;connectivity module;aws;AWS IoT ExpressLink
internet-of-things;device management;build digital twins;aws;AWS IoT TwinMaker
internet-of-things;interoperability;robot interoperability data collect and standardization;aws;AWS IoT Robborunner
internet-of-things;data collect;vehicle data collect transform and transfer;aws;AWS IoT FleetWise
internet-of-things;APIs;Publish APIs to developers, partners, and employees securely and at scale;azure;API Management
