category;acronym;sub category;description;acronym2;provider;product
analytics;;;search document;;aws;Amazon CloudSearch
analytics;;;big data platform;;aws;Amazon EMR
analytics;;;big data platform;;apache;Apache Adoop
analytics;;;big data platform;;apache;Apache Spark
analytics;;;data lake;;aws;AWS lake Formation
analytics;;;data stream;;aws;Amazon Kinesis Data Stream
analytics;;;video streams;;aws;Amazon Kinesis Video Stream
analytics;;;extract, transform and load;ETL;aws;Amazon Data Firehose
analytics;;;extract, transform and load;ETL;aws;AWS Glue
analytics;;;data analytics;;aws;Amazon Kinesis Data Analytics
analytics;;;log analytics;;aws;Amazon OpenSearch Service
analytics;;;online analytical processing;OLAP;aws;Amazon Redshift
analytics;;;reporting;;aws;Amazon Quicksight
analytics;;;data preparation;;aws;AWS Glue DataBrew
analytics;;;financial analytics;;aws;Amazon FinSpace
analytics;;;data management;;aws;Amazon DataZone
analytics;;;data sharing;;aws;AWS Clean Rooms
analytics;;;database query;;aws;Amazon Athena
analytics;;;data matching;;aws;AWS Entity Resolution
analytics;;;Enterprise-grade analytics engine as a service;;azure;Azure Analysis Services
analytics;;;Fast and highly scalable data exploration service;;azure;Azure Data Explorer
analytics;;;Hybrid data integration at enterprise scale, made easy;;azure;Azure Data Factory
analytics;;;Scalable, secure data lake for high-performance analytics;;azure;Azure Data Lake Storage
analytics;;;Hyperscale repository for big data analytics workloads;;azure;Azure Data Lake Storage Gen1
analytics;;;A simple and safe service for sharing big data with external organizations;;azure;Azure Data Share
analytics;;;Design AI with Apache Spark�-based analytics;;azure;Azure Databricks
analytics;;;Real-time analytics on fast-moving streaming data;;azure;Azure Stream Analytics
analytics;;;Limitless analytics with unmatched time to insight;;azure;Azure Synapse Analytics
analytics;;;Get more value from your enterprise data assets;;azure;Data Catalog
analytics;;;Distributed analytics service that makes big data easy;;azure;Data Lake Analytics
analytics;;;Receive telemetry from millions of devices;;azure;Event Hubs
analytics;;;Provision cloud Hadoop, Spark, R Server, HBase, and Storm clusters;;azure;HDInsight
analytics;;;White label Power BI to quickly and easily provide exceptional customer facing dashboards and analytics in your own applications;;azure;Power BI Embedded
analytics;;;Predictive analytics, machine learning, and statistical modeling for big data;;azure;R Server for HDInsight
analytics;;;A unified data governance solution that maximizes the business value of your data;;azure;Azure Purview
analytics;;;A secure, high-throughput connector designed to copy select Microsoft 365 productivity datasets into your Azure tenant;;azure;Microsoft Graph Data Connect�PREVIEW
analytics;;;Improve application resilience by introducing faults and simulating outages;;azure;Azure Chaos Studio�PREVIEW
application-integration;;;notification service;;aws;Amazon Simple Notification Service (SNS)
application-integration;;;message queue;;aws;Amazon Simple Queue Service
application-integration;;;message queue;;aws;Amazon MQ
application-integration;;;data synchronization;;aws;AWS AppSync
application-integration;;;workflows orchestration;;aws;AWS Step Functions
application-integration;;;workflows orchestration;;aws;AWS Express Workflows
application-integration;;;events bus;;aws;AWS EventBridge
application-integration;;;data flow management;;aws;Amazon AppFlow
application-integration;;;B2B data interchange;;aws;AWS B2B data interchange (B2Bi
artificial-intelligence;;ai_natural-language-understanding;automatic speech recognition;ASR;aws;Amazon Transcribe
artificial-intelligence;;ai_natural-language-understanding;transcribe health patient-clinician conversation;;aws;AWS HealthScribe
artificial-intelligence;;;time-series forecasting;;aws;Amazon Forecast
artificial-intelligence;;;conversational interface development;;aws;Amazon Lex
artificial-intelligence;;;vision service api;;aws;Amazon Rekognition
artificial-intelligence;;;translation;;aws;Amazon Translate
artificial-intelligence;;;intelligence search;;aws;Amazon Kendra
artificial-intelligence;;;software code analysis;;aws;Amazon CodeGuru
artificial-intelligence;;;business and operational data monitoring;;aws;Amazon Lookout
artificial-intelligence;;;business and operational data monitoring;;aws;AMazon devOps Guru
artificial-intelligence;;;health data analysis;;aws;AWS HealthLake, Amazon Comprehend Medical
artificial-intelligence;;;computer vision;;aws;AWS Panorama
artificial-intelligence;;;code generator;;aws;Amazon CodeWhisperer
artificial-intelligence;;;genomic and biological data analysis;;aws;Amazon HealthOmics
artificial-intelligence;;;medical images analysis;;aws;AWS HealthImaging
artificial-intelligence;;;foundation models;FM;aws;Amazon Bedrock
artificial-intelligence;;;application anomalies detection;;azure;AI Anomaly Detector
artificial-intelligence;;;bots creation and connection;;azure;Azure AI Bot Services
artificial-intelligence;;;search and retrieval;;azure;Azure AI Search
artificial-intelligence;;;Design AI with Apache Spark�-based analytics;;azure;Azure Databricks
artificial-intelligence;;;An enterprise-grade service for the end-to-end machine learning lifecycle;;azure;Azure Machine Learning
artificial-intelligence;;;Cloud platform to host and share curated open datasets to accelerate development of machine learning models;;azure;Azure Open Datasets
artificial-intelligence;;;Add cognitive capabilities to apps with APIs and AI services;;azure;Azure Cognitive Services
artificial-intelligence;;;An AI service for quickly building video analytics solutions;;azure;Azure Video Analyzer�PREVIEW
artificial-intelligence;;;Distill actionable information from images;;azure;computer Vision
artificial-intelligence;;;Automated image, text, and video moderation;;azure;Content Moderator
artificial-intelligence;;;Easily customize your own state-of-the-art computer vision models for your unique use case;;azure;Custom Vision
artificial-intelligence;;;Rich pre-configured environment for AI development;;azure;Data Science Virtual Machines
artificial-intelligence;;;Detect, identify, analyze, organize, and tag faces in photos;;azure;Face API
artificial-intelligence;;;The AI-powered document extraction service that understands your forms;;azure;Azure Form Recognizer
artificial-intelligence;;;Empower users of all ages and abilities to read and comprehend text;;azure;Azure Immersive Reader
artificial-intelligence;;;Build for mixed reality using AI sensors;;azure;Kinect DK
artificial-intelligence;;;Teach your apps to understand commands from your users;;azure;Language Understanding (LUIS)
artificial-intelligence;;;Power genome sequencing & research insights;;azure;Microsoft Genomics
artificial-intelligence;;;Deliver personalized, relevant experiences for each of your users;;azure;Personalizer
artificial-intelligence;;;Create intelligent industrial control systems using simulations;;azure;Project Bonsai�PREVIEW
artificial-intelligence;;;Distill information into conversational, easy-to-navigate answers;;azure;QnA Maker
artificial-intelligence;;;A Speech service feature that verifies and identifies speakers;;azure;Speaker recognition
artificial-intelligence;;;A Speech service feature that accurately converts spoken audio to text;;azure;Speech to text
artificial-intelligence;;;Easily integrate real-time speech translation to your app;;azure;Speech translation
artificial-intelligence;;;Add natural language capabilities with a single API call;;azure;Cognitive Service for Language
artificial-intelligence;;;A Speech service feature that converts text to lifelike speech;;azure;Text to speech
artificial-intelligence;;;Easily conduct machine translation with a simple REST API call;;azure;Translator
artificial-intelligence;;;An AI service that monitors metrics and diagnoses issues;;azure;Azure Metrics Advisor
artificial-intelligence;;;A managed service purpose-built for development of virtual healthcare assistants;;azure;Health Bot
artificial-intelligence;;;Accelerate edge intelligence from silicon to service;;azure;Azure Percept�PREVIEW
artificial-intelligence;;;Specialized services that enable organizations to accelerate time to value in applying AI to solve common scenarios;;azure;Azure Applied AI Services
artificial-intelligence;;;Apply advanced language models to a variety of use cases;;azure;Azure OpenAI Service�PREVIEW
artificial-intelligence;;ai_ai-generative;content generation assistant;;aws;Amazon Q
artificial-intelligence;;ai_ai-generative;content generation assistant;;azure;Microsoft Copilot
artificial-intelligence;;ai_natural-language-processing;document data extract and analysis;;aws;Amazon Comprehend
artificial-intelligence;;ai_natural-language-processing;health data extract and analysis;;aws;Amazon Comprehend Medical
artificial-intelligence;;ai_natural-language-processing;text to speech;;aws;Amazon Polly
artificial-intelligence;;ai_machine-learning;hardware engine;;aws;Amazon Elastic Inferentia
artificial-intelligence;;ai_machine-learning;individualized recommendations;;aws;Amazon Personalize
artificial-intelligence;;ai_machine-learning;dataset labeling;;aws;Amazon SageMaker Ground Truth
artificial-intelligence;;ai_machine-learning;optical character recognition (OCR);OCR;aws;Amazon Textract
artificial-intelligence;;ai_machine-learning;deep learning;;aws;AWS Deep Learning
artificial-intelligence;;ai_machine-learning;deep learning;;aws;AWS Deep Learning Containers
artificial-intelligence;;ai_machine-learning;deep learning;;aws;AWS Deeep Lens
artificial-intelligence;;ai_machine-learning;deep learning;;aws;AWS DeepRacer
artificial-intelligence;;ai_machine-learning;deep learning;;aws;AWS DeepComposer
artificial-intelligence;;ai_machine-learning;deep learning;;opensource;TensorFlow
artificial-intelligence;;ai_machine-learning;deep learning;;opensource;PyTorch
artificial-intelligence;;ai_machine-learning;deep learning;;opensource;Apache MXNet
artificial-intelligence;;ai_machine-learning;fraud detection;;aws;Amazon Fraud Detector
artificial-intelligence;;ai_machine-learning;sdk;;aws;AWS Neuron
blockchain;;;managed blockchain;;aws;Amazon Blockchain
blockchain;;;ledger database;;aws;Amazon Quantum Ledger Database
business-application;;;intelligent assistant;;aws;Alexa for business
business-application;;;online communication;;aws;Amazon Chime
business-application;;;online communication;;aws;Amazon Chime SDK
business-application;;;email and calendar;;aws;Amazon WorkMail
business-application;;;contact center;;aws;Amazon Connect
business-application;;;customer multichannel communication;;aws;Amazon Pinpoint
business-application;;;email service;;aws;Amazon Simple Email Service (SES)
business-application;;;document sharing and collaboration;;aws;Amazon WorkDocs
business-application;;;document sharing and collaboration;;aws;Amazon WorkDocs SDK
business-application;;;end-to-end encryption;;aws;Amazon Wickr
